Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
3-5 Batch number maintain,Chrome 74.0.3729.169,,2019-06-05 10:24:06,2019-06-05 10:24:28,22.509s,PASSED
,,,,,,
Test Cases/Others/Login,Chrome 74.0.3729.169,Login process in PSI,2019-06-05 10:24:07,2019-06-05 10:24:19,12.380s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,2019-06-05 10:24:08,2019-06-05 10:24:13,5.449s,PASSED
"navigateToUrl(""https://psi-azcldap.unicore.com.tw/login"")",Chrome 74.0.3729.169,,2019-06-05 10:24:13,2019-06-05 10:24:17,3.631s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-06-05 10:24:17,2019-06-05 10:24:18,1.180s,PASSED
"setText(findTestObject(""Others/Login/ID-QWE""), ""QWE"")",Chrome 74.0.3729.169,,2019-06-05 10:24:18,2019-06-05 10:24:18,0.352s,PASSED
"setEncryptedText(findTestObject(""Others/Login/PW-QWE""), ""5opu+sh6ATw="")",Chrome 74.0.3729.169,,2019-06-05 10:24:18,2019-06-05 10:24:19,0.395s,PASSED
"click(findTestObject(""Others/Login/Login Button""))",Chrome 74.0.3729.169,,2019-06-05 10:24:19,2019-06-05 10:24:19,0.204s,PASSED
"verifyElementClickable(findTestObject(""Others/Login/Verify button""))",Chrome 74.0.3729.169,,2019-06-05 10:24:19,2019-06-05 10:24:19,0.408s,PASSED
,,,,,,
Test Cases/3 Stock/3-5 Batch number maintain/3-5 Batch number maintain-Add,Chrome 74.0.3729.169,,2019-06-05 10:24:19,2019-06-05 10:24:24,5.003s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Batch maintain button""))",Chrome 74.0.3729.169,,2019-06-05 10:24:20,2019-06-05 10:24:20,0.273s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Batch maintain add button""))",Chrome 74.0.3729.169,,2019-06-05 10:24:20,2019-06-05 10:24:21,0.575s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Item button""))",Chrome 74.0.3729.169,,2019-06-05 10:24:21,2019-06-05 10:24:21,0.210s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Item select""))",Chrome 74.0.3729.169,,2019-06-05 10:24:21,2019-06-05 10:24:22,0.780s,PASSED
"setText(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Item life day""), ""30"")",Chrome 74.0.3729.169,,2019-06-05 10:24:22,2019-06-05 10:24:22,0.246s,PASSED
"setText(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/item batch code""), time())",Chrome 74.0.3729.169,,2019-06-05 10:24:22,2019-06-05 10:24:22,0.008s,PASSED
date = new java.util.Date(),Chrome 74.0.3729.169,,2019-06-05 10:24:22,2019-06-05 10:24:22,0.010s,PASSED
sdf = new java.text.SimpleDateFormat(yyyyMMddHHmm),Chrome 74.0.3729.169,,2019-06-05 10:24:22,2019-06-05 10:24:22,0.020s,PASSED
Time = Note + sdf.format(date),Chrome 74.0.3729.169,,2019-06-05 10:24:22,2019-06-05 10:24:22,0.056s,PASSED
return internal.GlobalVariable.Time,Chrome 74.0.3729.169,,2019-06-05 10:24:22,2019-06-05 10:24:22,0.495s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/item life date""))",Chrome 74.0.3729.169,,2019-06-05 10:24:22,2019-06-05 10:24:23,0.283s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Item life date next month 23"", [""xxx"":abc(0)]))",Chrome 74.0.3729.169,,2019-06-05 10:24:23,2019-06-05 10:24:23,0.003s,PASSED
today = new java.util.Date(),Chrome 74.0.3729.169,,2019-06-05 10:24:23,2019-06-05 10:24:23,0.002s,PASSED
