Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Stock Take Suite,Chrome 73.0.3683.86,,2019-04-18 01:24:26,2019-04-18 01:25:16,49.832s,FAILED
,,,,,,
Test Cases/Login,Chrome 73.0.3683.86,Login process in PSI,2019-04-18 01:24:27,2019-04-18 01:24:37,10.516s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-18 01:24:27,2019-04-18 01:24:32,4.926s,PASSED
"navigateToUrl(""https://psi-azcldap.unicore.com.tw/login"")",Chrome 73.0.3683.86,,2019-04-18 01:24:32,2019-04-18 01:24:35,2.252s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-18 01:24:35,2019-04-18 01:24:36,1.167s,PASSED
"setText(findTestObject(""Login/ID-QWE""), ""QWE"")",Chrome 73.0.3683.86,,2019-04-18 01:24:36,2019-04-18 01:24:36,0.351s,PASSED
"setEncryptedText(findTestObject(""Login/PW-QWE""), ""5opu+sh6ATw="")",Chrome 73.0.3683.86,,2019-04-18 01:24:36,2019-04-18 01:24:36,0.349s,PASSED
"click(findTestObject(""Login/Login Button""))",Chrome 73.0.3683.86,,2019-04-18 01:24:36,2019-04-18 01:24:37,0.180s,PASSED
"verifyElementClickable(findTestObject(""Login/Verify button""))",Chrome 73.0.3683.86,,2019-04-18 01:24:37,2019-04-18 01:24:37,0.612s,PASSED
,,,,,,
Test Cases/Stock Take-Add,Chrome 73.0.3683.86,,2019-04-18 01:24:37,2019-04-18 01:25:14,36.545s,FAILED
"click(findTestObject(""Object Repository/Stock take/Stock take button""))",Chrome 73.0.3683.86,,2019-04-18 01:24:38,2019-04-18 01:24:38,0.212s,PASSED
"click(findTestObject(""Object Repository/Stock take/Add button""))",Chrome 73.0.3683.86,,2019-04-18 01:24:38,2019-04-18 01:24:38,0.375s,PASSED
"click(findTestObject(""Stock take/Stock take date""))",Chrome 73.0.3683.86,,2019-04-18 01:24:38,2019-04-18 01:24:39,0.365s,PASSED
"click(findTestObject(""Stock take/Date 18""))",Chrome 73.0.3683.86,,2019-04-18 01:24:39,2019-04-18 01:24:39,0.131s,PASSED
"click(findTestObject(""Stock take/Employee button""))",Chrome 73.0.3683.86,,2019-04-18 01:24:39,2019-04-18 01:24:39,0.246s,PASSED
"click(findTestObject(""Object Repository/Stock take/Employee Larry""))",Chrome 73.0.3683.86,,2019-04-18 01:24:39,2019-04-18 01:24:40,0.748s,PASSED
"click(findTestObject(""Stock take/Warehouse button""))",Chrome 73.0.3683.86,,2019-04-18 01:24:40,2019-04-18 01:24:40,0.169s,PASSED
"click(findTestObject(""Object Repository/Stock take/Warehouse 111""))",Chrome 73.0.3683.86,,2019-04-18 01:24:40,2019-04-18 01:24:41,0.744s,PASSED
"click(findTestObject(""Stock take/Class button""))",Chrome 73.0.3683.86,,2019-04-18 01:24:41,2019-04-18 01:24:41,0.288s,PASSED
"click(findTestObject(""Object Repository/Stock take/Class IPAD""))",Chrome 73.0.3683.86,,2019-04-18 01:24:41,2019-04-18 01:24:42,0.697s,PASSED
"click(findTestObject(""Object Repository/Stock take/Class ok button""))",Chrome 73.0.3683.86,,2019-04-18 01:24:42,2019-04-18 01:24:42,0.126s,PASSED
"setText(findTestObject(""Object Repository/Stock take/Note""), ""Testing"")",Chrome 73.0.3683.86,,2019-04-18 01:24:42,2019-04-18 01:24:42,0.397s,PASSED
"setText(findTestObject(""Stock take/Stock number""), ""600"")",Chrome 73.0.3683.86,,2019-04-18 01:24:42,2019-04-18 01:25:14,31.594s,FAILED
,,,,,,
Test Cases/Accept and verify,Chrome 73.0.3683.86,,2019-04-18 01:25:14,2019-04-18 01:25:15,1.477s,FAILED
acceptAlert(),Chrome 73.0.3683.86,,2019-04-18 01:25:14,2019-04-18 01:25:15,1.121s,FAILED
